lineNumber,operator,travelCode,boardingTime,stationSrc,stationDst
971,TNUFA,4,17:10,MAZRA'A,HULDA
703,METROPOLIN,4,06:30,EN-HOD,RAMAT-RAHEL
327,KAVIM,2,03:35,TALME-BILU,ARRAB-AL-NAIM
263,METROPOLIN,8,02:05,QAZIR,QALYA
289,EGGED,5,04:40,YAFIT,KEFAR-ZOHARIM
815,METROPOLIN,3,16:05,MERKAZ-SHAPPIRA,AFIQIM
36,KAVIM,7,00:05,KISSUFIM,ARRAB-AL-NAIM
140,DAN,6,18:15,WERED-YERIHO,MEVASSERET-ZIYYON
359,EGGED,2,14:35,ZIPPORI,NEWE-HARIF
914,TNUFA,8,19:40,MANSHIYYET-ZABDA,BET-SHIQMA
547,EGGED,5,02:45,QEDAR,YIZHAR
84,DAN,8,12:25,ZUR-NATAN,MA'ALE-EFRAYIM
623,KAVIM,1,17:45,ORTAL,PORAT
63,SUPERBUS,7,10:00,KEFAR-DANIYYEL,KEFAR-MENAHEM
456,SUPERBUS,6,20:10,ZELAFON,ATRASH
437,METROPOLIN,2,03:15,RAMAT-HAKOVESH,KEFAR-GID'ON
940,SUPERBUS,4,07:15,HANNATON,YAVNE
365,KAVIM,2,12:45,HEVER,TARUM
526,METROPOLIN,6,15:05,BAQA-AL-GHARBIYYE,BET-ARIF
640,SUPERBUS,2,17:10,YAFIT,NES-ZIYYONA
575,TNUFA,2,21:00,SHIZZAFON,SEDE-ELI'EZER
421,METROPOLIN,3,08:35,BET-OREN,ISIFYA
968,KAVIM,7,17:45,MA'YAN-BARUKH,ORANIT
271,SUPERBUS,7,13:30,SHILAT,MA'ALE-SHOMERON
115,EGGED,6,13:40,NIZZAN,KAFAR-KAMA
317,EGGED,3,15:45,BET-LEHEM-HAGELILIT,AR'ARA-BANEGEV
587,KAVIM,6,11:30,GIV'ATAYIM,BET-SHE'AN
379,KAVIM,3,05:10,GANNOT-HADAR,MISHMAR-AYYALON
535,TNUFA,1,21:30,KANAF,BET-ZAYIT
730,SUPERBUS,2,10:00,MA'YAN-BARUKH,ASHDOD
497,TNUFA,9,12:55,NIR-ELIYYAHU,NAHARIYYA
649,EGGED,2,12:20,KHAWALED,ZIKHRON-YA'AQOV
68,METROPOLIN,1,23:55,ENAT,ADI
754,EGGED,1,17:55,ARSUF,TALMON
546,TNUFA,4,12:45,BET-SHE'ARIM,BAT-AYIN
829,TNUFA,6,04:00,GA'ASH,DOLEV
605,KAVIM,6,09:45,ROTEM,ABU-TULUL
263,METROPOLIN,2,01:15,PEDU'EL,HIBBAT-ZIYYON
516,AFIKIM,2,21:20,GAN-HAYYIM,GEROFIT
420,EGGED,9,14:55,MARGALIYYOT,RAMAT-RAZI'EL
110,SUPERBUS,3,16:25,NIR-ELIYYAHU,HODAYOT
769,AFIKIM,6,10:00,TEQUMA,KEREM-BEN-SHEMEN
306,AFIKIM,2,03:30,KEFAR-MAYMON,NE'URIM
614,SUPERBUS,7,04:30,SHARONA,REHAN
73,METROPOLIN,4,03:20,OTNI'EL,EN-SARID
